,Const,Runtime,Imdbvotes,Metascore,Award Status_Oscar Nom,Award Status_Oscar Win,Award Status_Other Nom,Award Status_Other Win,Genre Group_Action/Adventure,Genre Group_Drama/Thriller,Genre Group_Animation,Genre Group_Comedy,Genre Group_Horror
1580,1.0,105.0,3505.0,28.0,0,0,1,0,0,1,0,0,0
3296,1.0,101.0,440532.0,72.0,1,0,0,0,0,0,1,0,0
349,1.0,99.0,61255.0,48.0,0,0,0,1,1,0,0,0,0
1255,1.0,90.0,21777.0,32.0,0,0,1,0,0,1,0,0,0
428,1.0,83.0,2273.0,58.74590869939707,0,0,0,1,0,0,0,1,0
874,1.0,96.0,15829.0,58.74590869939707,0,1,0,0,0,0,0,1,0
343,1.0,99.0,51660.0,67.0,0,0,0,1,0,0,0,1,0
1852,1.0,92.0,2073.0,41.0,0,0,0,0,0,0,0,1,0
936,1.0,103.0,5063.0,58.74590869939707,0,0,0,0,1,0,0,0,0
409,1.0,103.0,190012.0,80.0,0,0,0,1,0,0,0,1,0
2336,1.0,140.0,88969.0,66.0,0,1,0,0,0,0,0,0,0
785,1.0,102.0,9493.0,58.74590869939707,0,0,0,0,0,1,0,0,0
735,1.0,104.0,27767.0,58.74590869939707,0,0,1,0,1,0,0,0,0
2467,1.0,95.0,825.0,58.74590869939707,0,0,0,1,0,0,0,1,0
1448,1.0,97.0,16086.0,70.0,1,0,0,0,1,0,0,0,0
60,1.0,96.0,6143.0,30.0,0,0,0,0,0,0,0,1,0
104,1.0,114.0,1367.0,58.74590869939707,0,0,0,1,0,1,0,0,0
2565,1.0,108.0,49721.0,45.0,0,0,0,0,0,0,0,1,0
2523,1.0,84.0,22243.0,37.0,0,0,1,0,1,0,0,0,0
2566,1.0,110.0,129071.0,56.0,0,0,1,0,1,0,0,0,0
153,1.0,116.0,577.0,58.74590869939707,0,0,0,0,0,0,0,0,0
485,1.0,104.0,51860.0,40.0,0,0,1,0,1,0,0,0,0
1887,1.0,115.0,5946.0,73.0,0,0,1,0,0,0,0,1,0
454,1.0,98.0,7038.0,58.74590869939707,0,0,0,0,0,0,0,1,0
477,1.0,99.0,18269.0,53.0,0,0,0,0,0,0,0,0,0
437,1.0,100.0,5477.0,58.74590869939707,0,0,0,0,0,0,0,1,0
1470,1.0,121.0,7719.0,52.0,0,0,1,0,0,0,0,1,0
1795,1.0,103.0,6838.0,58.74590869939707,0,0,1,0,1,0,0,0,0
288,1.0,95.0,2895.0,54.0,0,0,1,0,0,0,0,1,0
2702,1.0,93.0,189603.0,60.0,0,0,0,1,0,0,1,0,0
1544,1.0,117.0,11823.0,58.74590869939707,0,0,0,0,0,1,0,0,0
1472,1.0,130.0,13111.0,61.0,0,0,0,1,0,1,0,0,0
237,1.0,82.0,2699.0,58.74590869939707,0,0,0,0,0,0,0,1,0
943,1.0,147.0,229955.0,49.0,1,0,0,0,0,0,0,0,0
2288,1.0,78.0,4172.0,70.0,0,0,0,1,0,0,0,1,0
2323,1.0,113.0,31368.0,52.0,0,0,0,1,0,0,0,0,0
2253,1.0,106.0,32711.0,72.0,0,0,0,1,0,0,0,1,0
582,1.0,82.0,6325.0,58.74590869939707,0,0,1,0,0,0,1,0,0
1844,1.0,106.0,52264.0,38.0,0,0,0,1,0,0,0,1,0
1154,1.0,127.0,47538.0,39.0,1,0,0,0,0,0,0,1,0
1163,1.0,93.0,15667.0,58.74590869939707,0,0,0,0,1,0,0,0,0
719,1.0,91.0,297.0,58.74590869939707,0,0,0,1,0,0,0,0,0
2014,1.0,117.0,42466.0,54.0,0,0,0,1,0,0,0,0,0
3072,1.0,116.0,6554.0,54.0,0,0,1,0,0,1,0,0,0
1555,1.0,104.0,1613.0,74.0,0,0,0,0,0,1,0,0,0
2309,1.0,100.0,3508.0,69.0,0,0,0,0,0,0,0,0,0
3162,1.0,91.0,267338.0,47.0,0,0,0,1,0,0,1,0,0
2428,1.0,94.0,6416.0,78.0,0,0,0,0,0,0,0,1,0
233,1.0,94.0,49032.0,40.0,0,0,1,0,1,0,0,0,0
219,1.0,101.0,12717.0,58.74590869939707,0,0,0,1,0,0,0,1,0
